站碼,站名,地址,一級警戒,二級警戒,三級警戒,lat,lon
P01,河口,新北市淡水區,--,--,--,25.184357,121.407427
P02,土地公鼻,新北市淡水區,5,3.1,2.1,25.130265,121.458484
P03,獅子頭,新北市五股區,4.5,3,--,25.110665,121.456984
P04,台北橋,台北市中正區,8.5,6.7,2.2,25.067866,121.509083
P05,入口堰,新北市三重區,3.8,3.5,3.3,25.045266,121.476884
P06,新海橋,新北市新莊區,10.2,7.7,2.8,25.034166,121.454685
P07,大直橋,台北市中山區,9.8,8,3.3,25.077366,121.543982
P08,中正橋,台北市中正區,10.5,8.3,5.4,25.022066,121.516483
P09,疏洪道,新北市新莊區,--,--,--,25.066365,121.464284
P10,寶橋,台北市文山區,18,15,11.6,24.979867,121.553782
P100,八堵抽水_NB,,--,--,--,25.111366,121.730155
P101,大直橋_NB,,9.8,8,3.3,25.076375,121.544218
P102,員山子_NB,新北市瑞芳區,--,--,--,25.105388,121.829199
P11,屈尺,新北市新店區,50.5,--,--,24.915168,121.547483
P12,五堵,基隆市七堵區,17.4,14.4,--,25.079067,121.696779
P13,石門後池,桃園市龍潭區,--,--,--,24.824466,121.25159
P14,三鶯橋,新北市鶯歌區,44.6,43.6,--,24.944866,121.353287
P15,三峽(2),新北市三峽區,32.5,31.3,--,24.934533,121.373817
P16,橫溪橋,新北市三峽區,25,--,--,24.935866,121.394886
P17,碧潭橋,新北市新店區,17.5,15.8,--,24.961567,121.536583
P18,秀朗橋,新北市中和區,11.3,9.1,5.9,24.989367,121.529083
P19,介壽橋,新北市瑞芳區,50.3,47.3,--,25.10692,121.80467
P20,長安橋,新北市汐止區,13.5,10.5,--,25.079529,121.66919872
P21,大華橋,基隆市七堵區,20.7,17.3,--,25.100467,121.719478
P23,社后橋,新北市汐止區,11.5,8.5,--,25.063267,121.63378
P24,南湖大橋,台北市南港區,11.6,9.8,6.4,25.062967,121.612081
P25,瑞基,新北市瑞芳區,--,--,--,25.119553,121.798746
P26,孝深社區,基隆市信義區,--,--,--,25.125868,121.78573
P27,灣潭,新北市新店區,--,--,--,24.9520748,121.5391812
P31,柑城橋,新北市土城區,17.6,15.8,14,24.960166,121.410986
P32,上龜山橋,新北市新店區,62.4,60.5,--,24.899368,121.550183
P41,百齡橋,台北市士林區,8.8,7,--,25.089466,121.515383
P43,成美長壽橋,台北市南港區,--,--,--,25.053166,121.581082
P44,中山橋,台北市大同區,9.2,7.1,--,25.073666,121.524283
P45,柑園橋,新北市樹林區,21.3,18.9,--,24.96616,121.39436
P47,深坑中正橋,新北市深坑區,27.3,25.6,--,25.000867,121.612781
P48,江北橋,新北市汐止區,12.7,9.7,--,25.068267,121.65538
P49,暖江橋,基隆市暖暖區,24.9,21.9,--,25.102639,121.740803
P51,碇內,基隆市仁愛區,28.1,25.1,--,25.100467,121.753477
P54,建國橋,新北市新莊區,--,--,--,25.0278,121.435
P60,南靖橋,新北市鶯歌區,--,--,--,24.950696,121.354221
P61,武嶺橋,桃園市大溪區,--,--,--,24.888118,121.285324
P62,舊雙溪橋,新北市石碇區,--,--,--,25.00756,121.65168
P63,外按橋,新北市石碇區,--,--,--,25.00039,121.65194
P64,桂山壩,新北市烏來區,--,--,--,24.8739,121.5475
P65,三和橋,新北市金山區,--,--,--,25.21777886,121.6037819
P66,新磺溪橋,新北市金山區,5.8,4.6,--,25.22656311,121.6294293
P67,磺溪河口,新北市金山區,--,--,--,25.22972011,121.638495
P68,重翠橋,新北市板橋區,--,--,--,25.041251,121.4780483
P69,廣興,新北市新店區,46,--,--,24.914529,121.538505
P71,富裕橋,新北市新莊區,--,--,--,25.02012,121.419417333
P72,民權橋,新北市新莊區,--,--,--,25.02704244,121.423333444
P74,龍校街,桃園市龜山區,--,--,--,25.012113,121.388484
P81,員山子,新北市瑞芳區,--,--,--,25.107177,121.827807
P82,MS1,新北市瑞芳區,--,--,--,25.10617122,121.8305855
P83,MS2,新北市瑞芳區,--,--,--,25.1056113,121.83062139
P84,MS3,新北市瑞芳區,--,--,--,25.1050517,121.8305878
P86,甕仔潭橋,新北市瑞芳區,--,--,--,25.091759,121.831786
P89,橫溪海山橋_水,新北市三峽區,35.6,34.3,--,24.926254,121.416096
P90,城林橋_水,新北市土城區,15.3,13,--,24.9793,121.4304
P91,安坑橋_水,新北市新店區,15.1,12.4,10.7,24.9704,121.5275
P92,萬福橋_水,台北市文山區,22.4,19.4,--,25.0018,121.5844
P93,鶯歌建國橋_水,新北市鶯歌區,--,--,--,24.9521,121.3438
P94,覽勝橋,新北市烏來區,114.5,112.5,--,24.862306,121.551378
P95,加九寮橋_水,新北市烏來區,90.2,88,--,24.8846814,121.5403447
