N,E,震度
25.02000000,121.47000000,5.1
24.86000000,121.55000000,4
23.51000000,120.81000000,4
25.18000000,121.53000000,3
24.88000000,121.29000000,5.1
24.06000000,120.43000000,4
24.04000000,120.70000000,5.1
23.35000000,120.41000000,4
23.79000000,120.49000000,4
23.10000000,121.37000000,4
23.18000000,120.53000000,3
23.53000000,120.47000000,4
23.60000000,120.68000000,4
23.35000000,120.22000000,4
23.50000000,120.43000000,4
23.46000000,120.29000000,4
22.87000000,120.26000000,4
22.46000000,120.46000000,3
24.33000000,121.74000000,5.9
22.38000000,120.86000000,3
23.32000000,121.45000000,4
22.60000000,120.96000000,3
23.10000000,121.22000000,4
22.97000000,121.30000000,4
23.71000000,121.55000000,5.1
23.67000000,121.43000000,5.1
24.84000000,121.94000000,4
23.15000000,121.21000000,4
24.31000000,121.75000000,6.9
23.50000000,121.33000000,4
23.19000000,121.03000000,4
24.43000000,121.75000000,5.9
24.64000000,121.57000000,5.1
23.81000000,121.44000000,5.1
24.16000000,121.62000000,6.1
24.21000000,121.48000000,5.9
23.97000000,121.49000000,5.9
24.45000000,121.78000000,5.9
23.90000000,121.60000000,5.9
23.35000000,121.32000000,4
23.20000000,121.29000000,4
24.25000000,121.24000000,5.1
22.00000000,120.75000000,3
24.83000000,121.01000000,5.1
24.78000000,121.02000000,4
23.98000000,121.61000000,6.1
24.76000000,121.76000000,5.9
22.59000000,120.31000000,3
24.41000000,118.29000000,1
24.78000000,121.18000000,5.1
22.04000000,121.56000000,4
24.65000000,121.02000000,4
22.91000000,121.13000000,4
26.17000000,119.92000000,2
24.97000000,121.19000000,5.1
24.63000000,121.72000000,5.1
24.60000000,121.51000000,4
24.63000000,121.12000000,4
24.96000000,121.53000000,4
25.01000000,121.05000000,4
24.74000000,121.09000000,5.1
24.68000000,120.87000000,5.9
24.56000000,120.83000000,4
24.44000000,121.38000000,5.9
25.15000000,121.77000000,4
24.67000000,121.37000000,4
25.29000000,121.59000000,4
24.63000000,121.01000000,4
24.94000000,121.37000000,5.1
24.41000000,120.77000000,4
24.85000000,121.83000000,4
25.16000000,121.45000000,4
25.00000000,121.30000000,5.1
25.07000000,121.78000000,5.1
25.20000000,121.66000000,4
25.08000000,121.64000000,4
25.63000000,122.08000000,3
23.57000000,119.56000000,3
23.17000000,120.20000000,4
22.89000000,120.49000000,4
22.37000000,120.63000000,3
21.90000000,120.86000000,3
22.72000000,120.50000000,4
23.08000000,120.59000000,4
23.02000000,120.35000000,4
23.79000000,121.56000000,4
22.99000000,120.65000000,4
22.22000000,120.80000000,2
22.71000000,120.64000000,3
23.88000000,120.91000000,5.1
22.02000000,120.84000000,3
22.75000000,120.34000000,4
21.96000000,120.75000000,3
22.68000000,120.50000000,3
22.74000000,120.64000000,3
23.14000000,120.29000000,4
22.48000000,120.57000000,3
24.99519700,121.43533300,5.1
25.06487500,121.46678200,4
25.02895900,121.45558900,5.1
24.99792500,121.44094900,5.1
25.03402000,121.45447500,5.1
25.06398800,121.50437900,4
25.01774800,121.51106300,5.1
25.01367800,121.50504300,5.1
25.01046400,121.48954800,5.1
23.18000000,120.78000000,4
22.99000000,120.20000000,3
23.04000000,120.24000000,4
25.04000000,121.51000000,5.1
22.34000000,120.89000000,3
24.15000000,120.68000000,4
24.97000000,121.83000000,4
22.75000000,121.15000000,3
24.98000000,121.59000000,4
25.01000000,122.00000000,4
24.61000000,121.86000000,5.1
24.08000000,121.60000000,5.9
24.72000000,121.68000000,5.1
22.82000000,121.08000000,3
21.94000000,120.81000000,2
24.35000000,120.78000000,4
25.10000000,121.42000000,4
24.25000000,121.16000000,5.1
23.91000000,120.87000000,4
24.08000000,120.56000000,5.1
23.44000000,120.60000000,4
24.06000000,120.91000000,4
23.26000000,119.67000000,2
24.35000000,120.64000000,4
23.71000000,120.54000000,4
23.68000000,120.57000000,4
24.14000000,121.27000000,5.1
24.28000000,120.95000000,4
23.70000000,120.85000000,4
23.82000000,120.73000000,4
22.35000000,120.37000000,2
23.80000000,120.22000000,4
23.88000000,120.69000000,4
23.91000000,120.68000000,4
24.01000000,120.96000000,4
23.90000000,120.38000000,4
23.64000000,120.23000000,4
23.52000000,120.23000000,4
22.64000000,120.26000000,3
23.86000000,120.29000000,4
23.69000000,120.39000000,4
23.24000000,120.62000000,4
24.26000000,120.52000000,4
23.96000000,120.58000000,5.1
23.49000000,120.96000000,4
